[2025-09-14 20:27:15.458240] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 334, 0]
[2025-09-14 20:27:25.468841] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 334, 0]
[2025-09-14 20:29:19.535491] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:19.747032] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 20484, 0]
[2025-09-14 20:29:19.801886] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:20.275119] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:20.412887] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:20.481636] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 20484, 0]
[2025-09-14 20:29:21.168604] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 19024, 0]
[2025-09-14 20:29:21.434055] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:21.546055] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:21.567861] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:21.619642] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:21.852817] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:21.910579] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:21.974510] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:22.502811] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:23.027026] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:23.050663] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:23.074353] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17564, 0]
[2025-09-14 20:29:23.473992] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:23.562074] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:29:23.586438] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
